,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
0,0.0,52.0,59.0,0.0,0.081963592225226
1,0.0,52.0,23.0,0.0,0.17285867198012295
2,0.0,52.0,58.0,0.04,0.12474602151690778
3,0.0,52.0,13.0,0.05357142857142857,0.06907830501855106
4,0.0,52.0,80.0,0.0625,0.06735183965099856
5,0.0,52.0,98.0,0.01764705882352941,0.04958554375173613
6,0.0,52.0,62.0,0.0,0.17335780179972762
7,0.0,52.0,84.0,0.023809523809523808,0.24953511212148405
8,0.0,52.0,55.0,0.0,0.07640083203358972
9,0.0,52.0,75.0,0.046875,0.14602771222698888
10,0.0,52.0,57.0,0.0896551724137931,0.13129490667467805
11,0.0,52.0,16.0,0.02054794520547945,0.10388256954109185
12,0.0,52.0,53.0,0.0,0.21590635630499944
13,0.0,52.0,77.0,0.0,0.21590635630499944
14,0.0,52.0,39.0,0.0,0.184197342393645
15,0.0,52.0,99.0,0.0,0.10736773623922488
16,0.0,52.0,17.0,0.0,0.13428238016322322
17,0.0,52.0,28.0,0.021739130434782608,0.16430198132685667
18,0.0,52.0,31.0,0.0425531914893617,0.12495017919439902
19,0.0,52.0,88.0,0.0297029702970297,0.1951060031645977
20,0.0,52.0,78.0,0.011904761904761904,0.09143160127345273
21,0.0,52.0,38.0,0.023076923076923078,0.10338511519008628
22,0.0,52.0,15.0,0.013333333333333334,0.14691567181436282
23,0.0,52.0,34.0,0.0,0.15431136094315318
24,0.0,52.0,86.0,0.0,0.15431136094315318
25,0.0,52.0,67.0,0.03409090909090909,0.21068835748372605
26,0.0,52.0,87.0,0.012195121951219513,0.12075174508951489
27,0.0,52.0,50.0,0.08095238095238096,0.18826129111860757
28,0.0,52.0,37.0,0.0,0.24211665381679312
29,0.0,52.0,11.0,0.02702702702702703,0.8247589583229377
30,0.0,52.0,68.0,0.0,0.19610124391436426
31,0.0,52.0,65.0,0.023809523809523808,0.201864813816707
32,0.0,52.0,47.0,0.04081632653061224,0.06322751322751322
33,0.0,52.0,97.0,0.011904761904761904,0.13495523938387421
34,0.0,52.0,3.0,0.023809523809523808,0.17862360787855008
35,0.0,52.0,64.0,0.018072289156626505,0.14853886331971589
36,0.0,52.0,40.0,0.0,0.20529317921859008
37,0.0,52.0,82.0,0.02564102564102564,0.23255997474747475
38,0.0,52.0,83.0,0.03614457831325301,0.3028202289297175
39,0.0,52.0,73.0,0.02914614121510673,0.36150361066428094
40,0.0,52.0,52.0,0.288135593220339,0.7468619246861925
41,0.0,52.0,36.0,0.0,0.4006893659802088
42,0.0,52.0,4.0,0.22631578947368422,0.29429713804713803
43,0.0,52.0,43.0,0.044444444444444446,0.3709426190676991
44,0.0,52.0,96.0,0.3615591397849462,0.35731904728615255
45,0.0,52.0,51.0,0.023076923076923078,0.2665475885116432
46,0.0,52.0,10.0,0.74,0.33225965254030937
47,0.0,52.0,32.0,0.02127659574468085,0.08692099287053384
48,0.0,52.0,12.0,0.044444444444444446,0.12594670119651885
49,0.0,52.0,35.0,0.6666666666666666,0.5
50,0.0,52.0,54.0,0.02702702702702703,0.09972527472527473
51,0.0,52.0,8.0,0.09523809523809523,0.15305759754163153
52,0.0,52.0,19.0,0.023809523809523808,0.15544635042153424
53,0.0,52.0,18.0,0.02040816326530612,0.10453755883856276
54,0.0,52.0,69.0,0.012195121951219513,0.16212254477065843
55,0.0,52.0,94.0,0.02127659574468085,0.09665237207711336
